"Pass []","re(Mode(1)) [g]"
1,5.58867384867742
2,6.36931481317876
3,6.40026067918569
4,6.46522056594408
5,6.76348629932871
6,6.88593242053481
7,6.93330515148875
8,6.98236359450358
9,6.99273690899481
10,6.98879349624606
11,
12,
13,
14,
15,
16,
17,
18,
